run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
6,3909,290,290,NEW_ORDER,0,0,0
6,3909,0,0,DELIVERY,0,0,0
6,3911,125,125,PAYMENT,0,0,0
6,3912,891,891,NEW_ORDER,0,0,0
6,3913,1746,1746,NEW_ORDER,0,0,0
6,3921,623,623,PAYMENT,0,0,0
6,3927,309,309,NEW_ORDER,0,0,0
6,3936,222,222,PAYMENT,0,0,0
6,3949,105,105,PAYMENT,0,0,0
6,3951,875,875,ORDER_STATUS,0,0,0
6,3965,732,732,NEW_ORDER,0,0,0
6,3975,64,64,PAYMENT,0,0,0
6,3982,61,61,PAYMENT,0,0,0
6,3983,994,994,NEW_ORDER,0,0,0
6,3985,653,653,NEW_ORDER,0,0,0
6,3989,1001,1001,NEW_ORDER,0,0,0
6,3996,11,11,PAYMENT,0,0,0
6,4023,111,111,PAYMENT,0,0,0
6,4032,964,964,NEW_ORDER,0,0,0
6,4033,271,271,NEW_ORDER,0,0,0
6,4042,59,59,PAYMENT,0,0,0
6,4104,1824,1824,NEW_ORDER,0,0,0
6,4115,452,452,NEW_ORDER,0,0,0
6,4144,316,316,NEW_ORDER,0,0,0
6,4175,2117,2117,NEW_ORDER,0,0,0
6,4175,0,0,DELIVERY,0,0,0
6,4229,392,392,NEW_ORDER,0,0,0
6,4230,1,1,DELIVERY,0,0,0
6,4236,1987,1987,NEW_ORDER,0,0,0
6,4243,2235,2235,NEW_ORDER,0,0,0
6,4249,252,252,PAYMENT,0,0,0
6,4249,284,284,NEW_ORDER,0,0,0
6,4260,521,521,NEW_ORDER,0,0,0
6,4281,451,451,NEW_ORDER,0,0,0
6,4306,57,57,PAYMENT,0,0,0
6,4309,1241,1241,NEW_ORDER,0,0,0
6,4320,476,476,NEW_ORDER,0,0,0
6,4346,574,574,NEW_ORDER,0,0,0
6,4361,2281,2281,DELIVERY_BG,0,0,0
6,4369,49,49,PAYMENT,0,0,0
6,4382,445,445,NEW_ORDER,0,0,0
6,4398,365,365,NEW_ORDER,0,0,0
6,4402,617,617,PAYMENT,0,0,0
6,4407,262,262,NEW_ORDER,0,0,0
6,4410,435,435,PAYMENT,0,0,0
6,4421,4025,4025,DELIVERY_BG,0,0,0
6,4424,22,22,PAYMENT,0,0,0
6,4435,452,452,ORDER_STATUS,0,0,0
6,4527,423,423,NEW_ORDER,0,0,0
6,4536,230,230,PAYMENT,0,0,0
6,4537,512,512,NEW_ORDER,0,0,0
6,4549,180,180,NEW_ORDER,0,0,0
6,4564,2606,2605,DELIVERY_BG,0,0,0
6,4580,234,234,NEW_ORDER,0,0,0
6,4587,2241,2240,DELIVERY_BG,0,0,0
6,4596,645,645,NEW_ORDER,0,0,0
6,4607,71,71,PAYMENT,0,0,0
6,4615,208,208,PAYMENT,0,0,0
6,4636,687,687,NEW_ORDER,0,0,0
6,4638,356,356,NEW_ORDER,0,0,0
6,4659,1289,1289,PAYMENT,0,0,0
6,4662,1246,1246,PAYMENT,0,0,0
6,4670,1343,1343,PAYMENT,0,0,0
6,4675,2539,2539,STOCK_LEVEL,0,0,0
6,4675,1653,1653,STOCK_LEVEL,0,0,0
6,4703,320,320,STOCK_LEVEL,0,0,0
6,4708,465,465,NEW_ORDER,0,0,0
6,4710,1008,1008,PAYMENT,0,0,0
6,4715,52,52,PAYMENT,0,0,0
6,4728,179,179,PAYMENT,0,0,0
6,4728,148,148,STOCK_LEVEL,0,0,0
6,4728,891,891,NEW_ORDER,0,0,0
6,4729,2532,2532,NEW_ORDER,0,0,0
6,4742,66,66,PAYMENT,0,0,0
6,4749,821,821,PAYMENT,0,0,0
6,4749,339,339,NEW_ORDER,0,0,0
6,4814,250,250,NEW_ORDER,0,0,0
6,4822,152,152,NEW_ORDER,0,0,0
6,4836,923,923,STOCK_LEVEL,0,0,0
6,4837,95,95,PAYMENT,0,0,0
6,4837,87,87,PAYMENT,0,0,0
6,4838,0,0,DELIVERY,0,0,0
6,4887,489,489,NEW_ORDER,0,0,0
6,4889,465,465,NEW_ORDER,0,0,0
6,4892,2949,2949,DELIVERY_BG,0,0,0
6,4894,1299,1299,STOCK_LEVEL,0,0,0
6,4894,2082,2082,STOCK_LEVEL,0,0,0
6,4908,487,487,PAYMENT,0,0,0
6,4910,868,868,ORDER_STATUS,0,0,0
6,4916,188,188,PAYMENT,0,0,0
6,4923,2113,2113,DELIVERY_BG,0,0,0
6,4934,625,625,NEW_ORDER,0,0,0
6,4941,187,187,PAYMENT,0,0,0
6,4943,106,106,PAYMENT,0,0,0
6,4948,832,832,NEW_ORDER,0,0,0
6,4967,706,706,NEW_ORDER,0,0,0
6,4969,81,81,PAYMENT,0,0,0
6,4969,2684,2684,NEW_ORDER,0,0,0
6,4978,67,67,PAYMENT,0,0,0
6,4982,621,621,NEW_ORDER,0,0,0
6,4994,335,335,NEW_ORDER,0,0,0
6,4995,54,54,PAYMENT,0,0,0
6,4996,357,357,NEW_ORDER,0,0,0
6,4997,269,269,NEW_ORDER,0,0,0
6,5000,22,22,PAYMENT,0,0,0
6,5000,0,0,DELIVERY,0,0,0
6,5002,415,415,NEW_ORDER,0,0,0
6,5004,477,477,NEW_ORDER,0,0,0
6,5099,2667,2667,NEW_ORDER,0,0,0
6,5100,665,665,NEW_ORDER,0,0,0
6,5100,372,372,NEW_ORDER,0,0,0
6,5102,132,132,PAYMENT,0,0,0
6,5101,152,152,NEW_ORDER,0,0,0
6,5115,1083,1083,NEW_ORDER,0,0,0
6,5116,1249,1249,PAYMENT,0,0,0
6,5116,294,294,NEW_ORDER,0,0,0
6,5118,881,881,PAYMENT,0,0,0
6,5125,489,489,NEW_ORDER,0,0,0
6,5133,429,429,PAYMENT,0,0,0
6,5144,548,548,NEW_ORDER,0,0,0
6,5145,1156,1156,NEW_ORDER,0,0,0
6,5155,55,55,PAYMENT,0,0,0
6,5158,264,264,NEW_ORDER,0,0,0
6,5165,65,65,PAYMENT,0,0,0
6,5172,497,497,NEW_ORDER,0,0,0
6,5174,41,41,PAYMENT,0,0,0
6,5180,471,471,NEW_ORDER,0,0,0
6,5205,87,87,PAYMENT,0,0,0
6,5207,1298,1297,DELIVERY_BG,0,0,0
6,5218,403,403,NEW_ORDER,0,0,0
6,5226,332,332,PAYMENT,0,0,0
6,5226,110,110,PAYMENT,0,0,0
6,5231,115,115,PAYMENT,0,0,0
6,5238,83,83,PAYMENT,0,0,0
6,5238,0,0,DELIVERY,0,0,0
6,5249,91,91,PAYMENT,0,0,0
6,5251,71,71,PAYMENT,0,0,0
6,5261,264,264,PAYMENT,0,0,0
6,5274,56,56,PAYMENT,0,0,0
6,5280,665,665,NEW_ORDER,0,0,0
6,5280,1031,1031,NEW_ORDER,0,0,0
6,5290,59,59,PAYMENT,0,0,0
6,5296,22,22,PAYMENT,0,0,0
6,5300,10,10,PAYMENT,0,0,0
6,5313,61,61,PAYMENT,0,0,0
6,5334,797,797,NEW_ORDER,0,0,0
6,5392,57,57,PAYMENT,0,0,0
6,5392,0,0,DELIVERY,0,0,0
6,5394,168,168,NEW_ORDER,0,0,0
6,5408,181,181,PAYMENT,0,0,0
6,5437,139,139,PAYMENT,0,0,0
6,5480,378,378,NEW_ORDER,0,0,0
6,5481,232,232,NEW_ORDER,0,0,0
6,5483,75,75,PAYMENT,0,0,0
6,5492,9,9,PAYMENT,0,0,0
6,5497,1322,1322,DELIVERY_BG,0,0,0
6,5517,25,25,PAYMENT,0,0,0
6,5598,318,318,ORDER_STATUS,0,0,0
6,5600,708,708,NEW_ORDER,0,0,0
6,5602,165,165,PAYMENT,0,0,0
6,5610,405,405,NEW_ORDER,0,0,0
6,5618,1389,1388,DELIVERY_BG,0,0,0
6,5624,786,786,DELIVERY_BG,0,0,0
6,5626,16,16,PAYMENT,0,0,0
6,5642,24,24,PAYMENT,0,0,0
6,5661,144,144,NEW_ORDER,0,0,0
6,5680,199,199,ORDER_STATUS,0,0,0
6,5709,108,108,NEW_ORDER,0,0,0
6,5722,42,42,PAYMENT,0,0,0
6,5734,136,136,NEW_ORDER,0,0,0
6,5765,3338,3338,DELIVERY_BG,0,0,0
6,5771,766,766,NEW_ORDER,0,0,0
6,5771,0,0,DELIVERY,0,0,0
6,5775,66,66,PAYMENT,0,0,0
6,5799,173,173,NEW_ORDER,0,0,0
6,5831,108,108,NEW_ORDER,0,0,0
6,5840,840,839,DELIVERY_BG,0,0,0
6,5852,118,118,NEW_ORDER,0,0,0
6,5854,55,55,PAYMENT,0,0,0
6,5867,13,13,PAYMENT,0,0,0
6,5889,37,37,PAYMENT,0,0,0
6,5893,25,25,PAYMENT,0,0,0
6,5914,83,83,NEW_ORDER,0,0,0
6,5916,3651,3651,DELIVERY_BG,0,0,0
6,5947,182,182,NEW_ORDER,0,0,0
6,5948,710,710,DELIVERY_BG,0,0,0
6,5955,180,180,PAYMENT,0,0,0
6,5964,17,17,PAYMENT,0,0,0
6,5997,83,83,NEW_ORDER,0,0,0
6,6014,17,17,PAYMENT,0,0,0
6,6016,0,0,DELIVERY,0,0,0
6,6045,653,653,DELIVERY_BG,0,0,0
6,6081,310,309,DELIVERY_BG,0,0,0
6,6101,185,185,NEW_ORDER,0,0,0
6,6120,156,156,NEW_ORDER,0,0,0
6,6170,124,124,NEW_ORDER,0,0,0
6,6182,101,101,NEW_ORDER,0,0,0
6,6189,19,19,PAYMENT,0,0,0
6,6203,14,14,PAYMENT,0,0,0
6,6219,594,594,STOCK_LEVEL,0,0,0
6,6219,36,36,PAYMENT,0,0,0
6,6228,9,9,PAYMENT,0,0,0
6,6232,951,951,STOCK_LEVEL,0,0,0
6,6239,7,7,PAYMENT,0,0,0
6,6240,12,12,PAYMENT,0,0,0
6,6246,946,946,STOCK_LEVEL,0,0,0
6,6274,71,71,NEW_ORDER,0,0,0
6,6303,62,62,NEW_ORDER,0,0,0
6,6304,58,58,NEW_ORDER,0,0,0
6,6311,8,8,PAYMENT,0,0,0
6,6319,303,303,DELIVERY_BG,0,0,0
6,6323,12,12,PAYMENT,0,0,0
6,6376,1260,1260,NEW_ORDER,0,0,0
6,6376,0,0,DELIVERY,0,0,0
6,6405,1240,1240,NEW_ORDER,0,0,0
6,6410,1407,1407,NEW_ORDER,0,0,0
6,6412,1683,1683,NEW_ORDER,0,0,0
6,6417,1315,1315,NEW_ORDER,0,0,0
6,6433,1499,1499,NEW_ORDER,0,0,0
6,6471,1863,1863,NEW_ORDER,0,0,0
6,6476,583,583,PAYMENT,0,0,0
6,6488,3648,3648,NEW_ORDER,0,0,0
6,6494,1779,1779,NEW_ORDER,0,0,0
6,6494,1498,1498,NEW_ORDER,0,0,0
6,6504,1537,1537,NEW_ORDER,0,0,0
6,6516,1533,1533,NEW_ORDER,0,0,0
6,6526,55,55,PAYMENT,0,0,0
6,6527,1402,1402,NEW_ORDER,0,0,0
6,6533,128,128,PAYMENT,0,0,0
6,6537,318,318,PAYMENT,0,0,0
6,6542,1618,1618,NEW_ORDER,0,0,0
6,6565,1595,1595,NEW_ORDER,0,0,0
6,6589,177,177,PAYMENT,0,0,0
6,6602,1659,1659,NEW_ORDER,1,0,0
